vehicle_type,capacity,avail_cities,perday_rental,perkm_charge,max_km_perday
Indica A/C,3,2\14\47\56\4\62,2425\1050\1700\2700\1350\2525,8\5.50\11\10\6\8.50,225\250\150\200\250\250
Indigo A/C,4,2\14\47\56\4\62,2525\1300\1600\2900\1400\2650,9\6\11\11\6\9,225\250\100\200\250\250
Swift Dzire A/C,4,2\14\47\56\4\62,2625\1500\1650\3000\1500\2775,10\6.50\11\11.50\6.50\9.50,225\250\100\200\250\250
Etios A/C,4,2\14\47\56\4\62,2625\1500\1700\3000\1500\2775,10\6.50\11\11.50\6.50\9.50,225\250\100\200\250\250
Tavera A/C,6,2\14\47\56\4\62,2985\1550\1700\3100\2100\3150,11\6.50\12\12\6.50\11,225\250\100\200\250\250
Innova A/C,6,2\14\47\56\4\62,3085\1600\2000\3500\2050\3400,12\7\15\14\7\12,225\250100\200\250\250
Tempo Traveller (12 Seated),11,2\14\47/56\4\62,3637\2000\3000\3500\2450\4375,14\7.50\15\17\11\15.50,225\250\100\200\250\250
Tempo Traveller (17 Seated),17,47\56,3300\4700,17\19,100\200
Tempo Traveller (26 Seated),25,47,5700,26,80
Mini Coach (21 Seated),20,2,8000,40,200
Luxury Coach (35 Seated),34,2,11000,55,200
Volvo,44,2,15000,75,200
