vehicle_type,capacity,avail_cities,perday_rental,perkm_charge,max_km_perday
AC Medium car (indigo/Etios/Swift),4,2\4\14\37\49\64,2475\2475\1350\1350\1500\2650,9\9\6\7\10\10,225\225\0\0\100\250
AC Innova ,6,2\4\14\37\49\64,3035\3035\1550\1550\1800\3400,12\12\7\7\15\13,225\225\0\0\100\250
Ac Tempo ( 12 Seated),11,2\4\14\37\49\64,3487\3487\1950\1950\2950\4275,14\14\8\9\15\15,225\225\0\0\100\250
AC Tempo (17 Seated),16,49\0,3250,16.5,100
Ac Tavera,7,2\4\14\37\49\64,2475\2475\1350\1350\1750\2500,10\10\7\7.5\15\11,225\225\0\0\100\250
